clade_name	NCBI_tax_id	Start_metaphlan_bugs_list	RCE_plus_DSS_313_metaphlan_bugs_list	RCE_plus_DSS_305_metaphlan_bugs_list	RCE_plus_DSS_301_metaphlan_bugs_list	RCE_322_metaphlan_bugs_list	RCE_319_metaphlan_bugs_list	RCE_318_metaphlan_bugs_list	D_RCE_plus_DSS_metaphlan_bugs_list	D_RCE_metaphlan_bugs_list	D_DSS_metaphlan_bugs_list	D_Control_metaphlan_bugs_list	DSS_treatedp_metaphlan_bugs_list	DSS_339_metaphlan_bugs_list	DSS_334_metaphlan_bugs_list	Control_330_metaphlan_bugs_list	Control_328_metaphlan_bugs_list	Control_327_metaphlan_bugs_list
k__Bacteria	2	99.42336	99.86185	99.6951	98.8925	99.51907	98.77448000000001	99.68009	97.03959	99.59588000000001	98.36012	99.28293000000001	84.8371	94.66055	99.94366	95.76869	95.7183	98.31652
k__Bacteria|p__Actinobacteria	2|201174	1.0363799999999999	2.28472	0.37964000000000003	0.6721199999999999	2.84361	0.97788	1.68661	1.14194	2.31184	3.97985	0.47631	3.8665300000000005	1.32168	0.58373	0.58906	1.21246	2.15037
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	2|201174|1760|85004|31953|1678|1694	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.05735	0.028569999999999998	0.00586	0.03372	0.00309	0.04055	0.02302	0.0359	0.020880000000000003	0.06947	0.08887	0.019180000000000003	0.0759	0.03925	0.01236	0.02434	0.04003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.05735	0.028569999999999998	0.00586	0.03372	0.00309	0.04055	0.02302	0.0359	0.020880000000000003	0.06947	0.08887	0.019180000000000003	0.0759	0.03925	0.01236	0.02434	0.04003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.05735	0.028569999999999998	0.00586	0.03372	0.00309	0.04055	0.02302	0.0359	0.020880000000000003	0.06947	0.08887	0.019180000000000003	0.0759	0.03925	0.01236	0.02434	0.04003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	2|201174|84998|1643822|1643826|580024	0.05735	0.028569999999999998	0.00586	0.03372	0.00309	0.04055	0.02302	0.0359	0.020880000000000003	0.06947	0.08887	0.019180000000000003	0.0759	0.03925	0.01236	0.02434	0.04003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris	2|201174|84998|1643822|1643826|580024|671266	0.05735	0.028569999999999998	0.00586	0.03372	0.00309	0.04055	0.02302	0.0359	0.020880000000000003	0.06947	0.08887	0.019180000000000003	0.0759	0.03925	0.01236	0.02434	0.04003
k__Bacteria|p__Bacteroidetes	2|976	46.69764	25.53087	13.389710000000001	39.4572	54.12655	41.903909999999996	47.48256	29.73335	70.84839000000001	48.81411	38.95802	26.295379999999998	59.598890000000004	33.6774	24.97413	29.640929999999997	40.42906
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	46.69764	25.53087	13.389710000000001	39.4572	54.12655	41.903909999999996	47.48256	29.73335	70.84839000000001	48.81411	38.95802	26.295379999999998	59.598890000000004	33.6774	24.97413	29.640929999999997	40.42906
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	46.69764	25.53087	13.389710000000001	39.4572	54.12655	41.903909999999996	47.48256	29.73335	70.84839000000001	48.81411	38.95802	26.295379999999998	59.598890000000004	33.6774	24.97413	29.640929999999997	40.42906
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.4784300000000004	8.07911	6.5304199999999994	6.58908	1.33535	1.7984200000000001	2.6621	23.37763	7.71358	21.95461	4.53619	10.40896	38.11578	13.47129	1.11659	1.37724	0.97554
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	3.4784300000000004	8.07911	6.5304199999999994	6.58908	1.33535	1.7984200000000001	2.6621	23.37763	7.71358	21.95461	4.53619	10.40896	38.11578	13.47129	1.11659	1.37724	0.97554
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caecimuris	2|976|200643|171549|815|816|1796613	1.43111	3.66192	5.18916	3.24949	0.8582	1.74847	1.56428	19.407989999999998	2.8656599999999997	16.64773	2.2793400000000004	4.19147	33.54887	6.59881	1.01549	1.1224	0.53505
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecichinchillae	2|976|200643|171549|815|816|871325	0.01924	0	0	0	0.0312	0.04995	0.031639999999999995	0	0.13473	0	0.05611	0	0	0	0.00146	0.0031	0.02546
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sartorii	2|976|200643|171549|815|816|671267	1.39012	4.3209800000000005	1.22181	2.91078	0.22499	0	1.00681	3.58025	2.8188400000000002	5.2157	1.10181	6.13112	4.2643	6.76215	0.09577000000000001	0.15692	0.41503
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2|976|200643|171549|815|816|820	0.6199899999999999	0.05072	0.10488	0.40225	0.22095	0	0.05272	0.35393	1.8654	0.019469999999999998	1.0959299999999998	0.02131	0.24786999999999998	0.0313	0.00386	0.0912	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	2|976|200643|171549|815|816|821	0.01797	0.04548	0.01456	0.026560000000000004	0	0	0.006659999999999999	0.035460000000000005	0.028939999999999997	0.0717	0.003	0.06506	0.05474	0.07902	0	0.00361	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	27.566540000000003	1.69117	2.24586	7.0643199999999995	28.34978	11.00682	25.254	1.14394	23.77843	1.7487400000000002	19.29102	0.5209600000000001	4.95805	8.94074	20.64486	23.40174	32.21691
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	2|976|200643|171549|2005473|	14.67951	0	0	0	4.84397	7.008789999999999	5.03711	0	9.210519999999999	0	11.1191	0	0	0	17.57411	14.92576	28.4201
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_DSM_103720	2|976|200643|171549|2005473||2094237	14.67951	0	0	0	4.84397	7.008789999999999	5.03711	0	9.210519999999999	0	11.1191	0	0	0	17.57411	14.92576	28.4201
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	2|976|200643|171549|2005473|1918540	12.88702	1.69117	2.24586	7.0643199999999995	23.50581	3.9980300000000004	20.2169	1.14394	14.567910000000001	1.7487400000000002	8.17193	0.5209600000000001	4.95805	8.94074	3.07076	8.47599	3.79681
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale	2|976|200643|171549|2005473|1918540|1796646	12.88702	1.69117	2.24586	7.0643199999999995	23.50581	3.9980300000000004	20.2169	1.14394	14.567910000000001	1.7487400000000002	8.17193	0.5209600000000001	4.95805	8.94074	3.07076	8.47599	3.79681
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	15.028170000000001	13.85498	4.25575	25.29169	23.81171	28.82909	19.27504	4.3506599999999995	38.484559999999995	23.701	14.386479999999999	14.64171	15.39006	7.811039999999999	3.09269	4.63816	7.002330000000001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	15.028170000000001	13.85498	4.25575	25.29169	23.81171	28.82909	19.27504	4.3506599999999995	38.484559999999995	23.701	14.386479999999999	14.64171	15.39006	7.811039999999999	3.09269	4.63816	7.002330000000001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_MGM1	2|976|200643|171549|171552|838|2033405	7.15955	10.24922	2.3915599999999997	4.82071	5.75864	11.77962	6.992380000000001	0.32268	10.58332	0	3.9665199999999996	0	3.08756	5.20606	1.5388899999999999	2.17541	5.42288
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_MGM2	2|976|200643|171549|171552|838|2033406	7.86862	3.60576	1.86418	20.470979999999997	18.05307	17.04947	12.28265	4.02798	27.90124	23.701	10.419960000000001	14.64171	12.3025	2.60498	1.5538	2.46274	1.57946
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.05287000000000001	0.89066	0.15089	0.04498	0.052770000000000004	0.07465	0.0347	0.35201	0.02659	0.51852	0.00435	0.18844	0.8002600000000001	1.2903799999999999	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2|976|200643|171549|171550|239759	0.05287000000000001	0.89066	0.15089	0.04498	0.052770000000000004	0.07465	0.0347	0.35201	0.02659	0.51852	0.00435	0.18844	0.8002600000000001	1.2903799999999999	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	2|976|200643|171549|171550|239759|626932	0	0	0	0	0	0	0	0	0	0.26200999999999997	0	0	0	1.1854200000000001	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_timonensis	2|976|200643|171549|171550|239759|1465754	0.05287000000000001	0.89066	0.15089	0.04498	0.052770000000000004	0.07465	0.0347	0.35201	0.02659	0.25651	0.00435	0.18844	0.8002600000000001	0.10496	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.5716399999999999	1.01496	0.2068	0.46713000000000005	0.57694	0.19493	0.25672	0.5091100000000001	0.8452200000000001	0.89125	0.73997	0.5353100000000001	0.33474	2.16395	0.11999000000000001	0.22378	0.23428000000000002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	2|976|200643|171549|2005525|375288	0.5716399999999999	1.01496	0.2068	0.46713000000000005	0.57694	0.19493	0.25672	0.5091100000000001	0.8452200000000001	0.89125	0.73997	0.5353100000000001	0.33474	2.16395	0.11999000000000001	0.22378	0.23428000000000002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	2|976|200643|171549|2005525|375288|823	0.5716399999999999	1.01496	0.2068	0.46713000000000005	0.57694	0.19493	0.25672	0.5091100000000001	0.8452200000000001	0.89125	0.73997	0.5353100000000001	0.33474	2.16395	0.11999000000000001	0.22378	0.23428000000000002
k__Bacteria|p__Deferribacteres	2|200930	0.6755	1.21505	1.41005	3.10623	0.19712000000000002	1.7425700000000002	0.7943100000000001	0.5122800000000001	0.30628	0.08196	0.56224	1.17341	0.33259	0.60788	1.66727	0.30596999999999996	0.32876
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	0.6755	1.21505	1.41005	3.10623	0.19712000000000002	1.7425700000000002	0.7943100000000001	0.5122800000000001	0.30628	0.08196	0.56224	1.17341	0.33259	0.60788	1.66727	0.30596999999999996	0.32876
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	0.6755	1.21505	1.41005	3.10623	0.19712000000000002	1.7425700000000002	0.7943100000000001	0.5122800000000001	0.30628	0.08196	0.56224	1.17341	0.33259	0.60788	1.66727	0.30596999999999996	0.32876
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	2|200930|68337|191393|191394	0.6755	1.21505	1.41005	3.10623	0.19712000000000002	1.7425700000000002	0.7943100000000001	0.5122800000000001	0.30628	0.08196	0.56224	1.17341	0.33259	0.60788	1.66727	0.30596999999999996	0.32876
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	2|200930|68337|191393|191394|248038	0.6755	1.21505	1.41005	3.10623	0.19712000000000002	1.7425700000000002	0.7943100000000001	0.5122800000000001	0.30628	0.08196	0.56224	1.17341	0.33259	0.60788	1.66727	0.30596999999999996	0.32876
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri	2|200930|68337|191393|191394|248038|248039	0.6755	1.21505	1.41005	3.10623	0.19712000000000002	1.7425700000000002	0.7943100000000001	0.5122800000000001	0.30628	0.08196	0.56224	1.17341	0.33259	0.60788	1.66727	0.30596999999999996	0.32876
k__Bacteria|p__Firmicutes	2|1239	5.2581	5.15998	4.851380000000001	5.2773699999999995	6.99211	5.24528	4.67371	7.185219999999999	5.69935	4.45447	5.253830000000001	7.21385	5.52259	1.5921299999999998	8.5643	9.060080000000001	13.14696
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.83779	0.36703	0.81663	2.78887	1.38762	2.01008	0.9839100000000001	2.37226	2.64967	2.69821	2.22307	0.43856999999999996	4.81789	0.49818	4.21165	6.2112	9.51645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.83779	0.36703	0.81663	2.78887	1.38762	2.01008	0.9839100000000001	2.37226	2.64967	2.69821	2.22307	0.43856999999999996	4.81789	0.49818	4.21165	6.2112	9.51645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0	0	0	0	0	0	0	0	0	0	0	0	0.008020000000000001	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	0	0	0	0	0	0	0	0	0	0	0	0	0.008020000000000001	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum	2|1239|91061|186826|81852|1350|1353	0	0	0	0	0	0	0	0	0	0	0	0	0.008020000000000001	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.83779	0.36703	0.81663	2.78887	1.38762	2.01008	0.9839100000000001	2.37226	2.64967	2.69821	2.22307	0.43856999999999996	4.80987	0.49818	4.21165	6.2112	9.51645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	1.83779	0.36703	0.81663	2.78887	1.38762	2.01008	0.9839100000000001	2.37226	2.64967	2.69821	2.22307	0.43856999999999996	4.80987	0.49818	4.21165	6.2112	9.51645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_intestinalis	2|1239|91061|186826|33958|1578|151781	0	0	0	0	0	0.03173	0	0	0.022609999999999998	0	0.0396	0	0	0	0.25839	0.42616000000000004	0.8825700000000001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	2|1239|91061|186826|33958|1578|33959	1.08514	0.05142000000000001	0.57568	1.82133	1.03821	1.24069	0.36579	0.58277	1.72563	0.73868	1.21543	0	0.68278	0	1.64895	3.02385	4.88455
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus	2|1239|91061|186826|33958|1578|1622	0.65536	0.11191	0.03631	0.11925999999999999	0.14353	0.34251	0.51436	1.2019799999999998	0.62489	1.0740100000000001	0.41668999999999995	0.43856999999999996	3.5365300000000004	0.49818	0.75915	1.68422	1.74285
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	2|1239|91061|186826|33958|1578|1598	0.09729	0.20371	0.20464000000000002	0.8482799999999999	0.20586999999999997	0.39515	0.10375999999999999	0.5875199999999999	0.27655	0.8855200000000001	0.55135	0	0.5905600000000001	0	1.54515	1.07697	2.00648
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.74724	1.28532	3.6317699999999995	1.4812299999999998	5.500859999999999	2.60529	2.30823	3.61931	1.91491	1.30593	2.52293	6.20809	0.65883	0.9659	3.9724199999999996	2.65482	3.11245
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.74724	1.28532	3.6317699999999995	1.4812299999999998	5.500859999999999	2.60529	2.30823	3.61931	1.91491	1.30593	2.52293	6.20809	0.65883	0.9659	3.9724199999999996	2.65482	3.11245
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.01182	0.09566000000000001	0.21763000000000002	0.24139000000000002	0.02018	0.12357	0.020319999999999998	0.35076	0	0.16793	0.04492	0.46933	0	0	0.15984	0.10877	0.25924
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	2|1239|186801|186802|31979|1485	0.01182	0.09566000000000001	0.21763000000000002	0.24139000000000002	0.02018	0.12357	0.020319999999999998	0.35076	0	0.16793	0.04492	0.46933	0	0	0.15984	0.10877	0.25924
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF502	2|1239|186801|186802|31979|1485|97139	0.01182	0.09566000000000001	0.21763000000000002	0.24139000000000002	0.02018	0.12357	0.020319999999999998	0.35076	0	0.16793	0.04492	0.46933	0	0	0.15984	0.10877	0.25924
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.0887599999999997	0.46107	2.62256	0.76994	4.99264	1.36216	1.99048	2.6804900000000003	1.61042	0.88433	1.79542	4.79159	0.1041	0.58708	2.29501	2.1421	0.8501799999999999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor	2|1239|186801|186802|186803|1427378	0.03308	0.21995	0.70649	0.36994	0.00851	0.04686	0.01815	0.25611999999999996	0.02244	0.022090000000000002	0.005679999999999999	0.26805999999999996	0.0458	0.00336	0.04645	0	0.01589
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris	2|1239|186801|186802|186803|1427378|879566	0.03308	0.21995	0.70649	0.36994	0.00851	0.04686	0.01815	0.25611999999999996	0.02244	0.022090000000000002	0.005679999999999999	0.26805999999999996	0.0458	0.00336	0.04645	0	0.01589
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	2|1239|186801|186802|186803|189330	0.06419	0.02659	0.66474	0.13065	0.11519000000000001	0.030019999999999998	0.030019999999999998	0.01228	0.00403	0.007359999999999999	0.05113	0.00571	0.00151	0.01824	0.026489999999999996	0.07831	0.09925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2	2|1239|186801|186802|186803|189330|1235798	0.06419	0.02659	0.66474	0.13065	0.11519000000000001	0.030019999999999998	0.030019999999999998	0.01228	0.00403	0.007359999999999999	0.05113	0.00571	0.00151	0.01824	0.026489999999999996	0.07831	0.09925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	2|1239|186801|186802|186803|	1.9914900000000002	0.21453000000000003	1.2513299999999998	0.26934	4.86894	1.28529	1.94232	2.41209	1.58395	0.8548899999999999	1.7386	4.51781	0.05679	0.5654899999999999	2.22207	2.06378	0.7350399999999999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_10_1	2|1239|186801|186802|186803||1235800	0.19115	0.19395	0.21056	0.15708	0.0584	0.19119	0	0.20792	0.0508	0.03057	0.01043	0.14767	0	0.12103	0.0042	0	0.012490000000000001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_28_4	2|1239|186801|186802|186803||397287	0.47956000000000004	0.020569999999999998	1.0407799999999998	0.11225999999999998	0.13239	1.00496	0.90243	2.19267	0.36286	0.82431	1.2823799999999999	3.0943099999999997	0.05679	0.44445	0.43917	0.62136	0.26905
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_1	2|1239|186801|186802|186803||397288	0.0064	0	0	0	0	0.00659	0	0	0.00286	0	0.018369999999999997	0	0	0	0.04639	0.00315	0.06545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_2	2|1239|186801|186802|186803||1235799	0.01077	0	0	0	0	0	0	0	0	0	0.01223	0	0	0	0.04092	0	0.16591
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2	2|1239|186801|186802|186803||397290	1.14374	0	0	0	4.66885	0	1.03989	0	0.09418	0	0.26144	0	0	0	0.15361	1.36887	0.016319999999999998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A4	2|1239|186801|186802|186803||397291	0.07483	0	0	0	0	0.00399	0	0	0.036239999999999994	0	0.1249	0	0	0	0.08642999999999999	0.06854	0.16693
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_COE1	2|1239|186801|186802|186803||1235793	0.08504	0	0	0	0.009290000000000001	0.07855	0	0	1.03701	0	0.02885	1.2758399999999999	0	0	1.45135	0.00186	0.03889
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_M18_1	2|1239|186801|186802|186803||1235792	0	0	0	0	0	0	0	0.0115	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.04154	0.3207	0.47607	0.18971	0.07195	0.09462000000000001	0.026180000000000002	0.10475	0.025580000000000002	0.03802	0.07391	0	0.0176	0.14959	0.08336	0.01396	0.17615999999999998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	2|1239|186801|186802|216572|459786	0.04154	0.3207	0.47607	0.18971	0.07195	0.09462000000000001	0.026180000000000002	0.10475	0.025580000000000002	0.03802	0.07391	0	0.0176	0.14959	0.08336	0.01396	0.17615999999999998
