Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,RCJ_318,RCJ_319,RCJ_322,RCJ_plus_DSS_301,RCJ_plus_DSS_305,RCJ_plus_DSS_313
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__(Parabacteroides),0.179667563,0.450450172,0.140466331,0.620060571,0.476532833,0.367798104,0.599287029,0.326996947,0.786768676,0.735838569,0.208389623,0.653705866
k__Bacteria|p__Deferribacteres <phylum>|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum schaedleri,0.324779318,0.422000904,1.696723601,0.506675009,0.292435763,0.686903202,1.295867528,1.646441612,0.198990489,2.20524182,1.725337672,0.697460143
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__(Enterobacteriaceae)|s__(Enterobacteriaceae),0.006723901,0,0.058704267,0.17442033,1.546343357,0,0.014785397,0.01051543,0.011868435,0.017954434,0.009682012,0.012629835
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__(Barnesiella),0.073402153,0.118632933,0,0.086412762,0.098847033,0,0.114244717,0.065309874,0.146557421,0,0,0.081412278
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__(Flavobacteriales)|g__(Flavobacteriales)|s__(Flavobacteriales),0,0.00671876,0.003673197,0.007140615,0.006790782,0.005247424,0.006230033,0.005381184,0.008977208,0.005509799,0,0.006410092
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__(Peptostreptococcaceae)|s__(Peptostreptococcaceae),0.060268168,0,0,0.075269698,0,0.037899775,0,0,0,0.069260902,0.077697891,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__(Bacteroidales bacterium 43_36)|g__(Bacteroidales bacterium 43_36)|s__Bacteroidales bacterium 43_36,0.1484557,0.1786079,0.085476417,0.257700071,0,0,0.189128587,0.076643285,0.343767901,0.060252818,0.098965393,0
k__Bacteria|p__Actinobacteria <phylum>|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__(Bifidobacterium),0.060216723,0.047916181,0.062953651,0,0.030388749,0.070011951,0.08802816,0.040086218,0.078546711,0.062140863,0,0.047298862
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__(Rhodospirillaceae)|s__(Rhodospirillaceae),0,0,0,0.002742037,0.002721457,0,0,0,0,0.00517026,0,0
k__Bacteria|p__Candidatus Saccharibacteria|c__(Candidatus Saccharibacteria)|o__(Candidatus Saccharibacteria)|f__(Candidatus Saccharibacteria)|g__(Candidatus Saccharibacteria)|s__(Candidatus Saccharibacteria),0,0.152154711,0.066215285,0.172352227,0.159171813,0.445676046,0.089684701,0.24228703,0,0.234770948,0,0.321276256
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides pyogenes,0.079462409,0.206532425,0.144324731,0.172429395,0.254890971,0.16681663,0.172439711,0.099654791,0.277552633,0.125151153,0,0.16831892
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__(Acetobacteraceae)|s__(Acetobacteraceae),0,0,0,0.060664362,0,0.001090641,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__(Rhodospirillales)|g__(Rhodospirillales)|s__(Rhodospirillales),0.063483499,0,0,0.013020819,0.02466803,0.066241008,0,0,0,0.043558795,0,0.065891214
k__Bacteria|p__Firmicutes|c__(Firmicutes bacterium)|o__(Firmicutes bacterium)|f__(Firmicutes bacterium)|g__(Firmicutes bacterium)|s__Firmicutes bacterium,0.071524399,0.073947519,0.127815924,0,0.126776696,0,0.126864264,0.324234331,0.063606991,0.080512005,0.566572631,0.10543726
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__([Eubacterium] rectale)|s__[Eubacterium] rectale,0.127121334,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Candidatus Arthromitus|s__(Candidatus Arthromitus),0,0,0.104485467,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CAG:709,0,0,0,0,0,0.058580798,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__(Acetobacter),0,0,0,0,0,0.059357623,0,0,0,0,0,0
k__Bacteria|p__(uncultured bacterium BAC25G1)|c__(uncultured bacterium BAC25G1)|o__(uncultured bacterium BAC25G1)|f__(uncultured bacterium BAC25G1)|g__(uncultured bacterium BAC25G1)|s__uncultured bacterium BAC25G1,0,0,0,0,0,0,0,0,0.068288515,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix alysoides,0,0,0,0,0,0,0,0,0,0.065078394,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__(Bacteroidales bacterium WCE2008)|g__(Bacteroidales bacterium WCE2008)|s__Bacteroidales bacterium WCE2008,0,0,0,0.066848094,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes senegalensis,0,0,0,0,0,0,0,0.08135568,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes ihumii,0,0,0,0,0,0,0,0.139982803,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides xylanisolvens,0,0,0,0,0.112130214,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus,0,0,0,0,0.118596891,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__(Paenibacillaceae)|s__(Paenibacillaceae),0,0,0,0,0,0,0,0,0,0,0.0621614,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CAG:545,0,0,0,0.073716049,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter sanguinis,0,0,0,0.06489317,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides salyersiae,0,0,0,0,0.199072801,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes finegoldii,0,0,0,0,0,0,0,0.071617075,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter hepaticus,0,0,0,0,0,0,0,0,0,0,0.129606235,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__(Romboutsia),0,0,0,0,0,0.083881612,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__(Proteobacteria bacterium CAG:495)|o__(Proteobacteria bacterium CAG:495)|f__(Proteobacteria bacterium CAG:495)|g__(Proteobacteria bacterium CAG:495)|s__Proteobacteria bacterium CAG:495,0,0,0,0,0,0,0,0,0,0.060047037,0,0
k__Bacteria|p__Firmicutes|c__(Firmicutes bacterium M10-2)|o__(Firmicutes bacterium M10-2)|f__(Firmicutes bacterium M10-2)|g__(Firmicutes bacterium M10-2)|s__Firmicutes bacterium M10-2,0,0,0,0,0,0,0,0,0,0,0,0.068329724
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia sp. CAG:309,0.075542277,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter marmotae,0,0.09249356,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__(Escherichia),0,0,0,0,0.06301537,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella clara,0,0,0,0.101357638,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter laneus,0,0,0,0.058668282,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__(Streptococcus),0,0,0.069903916,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. CAG:510,0,0,0,0,0,0.060453408,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. CAG:253,0,0,0.082883573,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes indistinctus,0,0,0,0.118741023,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__[Ruminococcus] gnavus,0,0,0,0,0,0,0,0,0,0,0.060978157,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__(Streptococcaceae)|s__(Streptococcaceae),0,0,0.00115752,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. CAG:590,0,0,0.115047193,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter apodemus,0,0,0,0.421239709,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas gingivicanis,0,0,0,0,0.139349932,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia coli,0,0,0,0,0.712635973,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria <phylum>|c__Actinobacteria|o__(Actinobacteria)|f__(Actinobacteria)|g__(Actinobacteria)|s__(Actinobacteria),0.051409287,0.058153802,0.033892184,0.087904678,0.039283645,0.062506077,0.078726838,0.058868916,0.084853907,0.045359383,0.092262066,0.063833399
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Azospirillum|s__(Azospirillum),0,0,0,0.074729522,0.095230427,0,0,0,0,0.192287361,0,0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__(Campylobacterales)|g__(Campylobacterales)|s__(Campylobacterales),0.091186793,0.261573785,0.144304153,0.128253269,0.04663518,0.059054095,0.12291326,0.099011724,0.039746652,0.087277071,0.229873195,0.056780241
k__Bacteria|p__Proteobacteria|c__(Proteobacteria)|o__(Proteobacteria)|f__(Proteobacteria)|g__(Proteobacteria)|s__(Proteobacteria),0.25224659,0.382650371,0.199968001,0.387002825,0.360256126,0.279651674,0.550948966,0.323920514,0.426677175,0.749883155,0.219398925,0.437249525
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__(Lachnospiraceae bacterium 28-4)|s__Lachnospiraceae bacterium 28-4,0.180578144,0.151501355,0.188289911,0.121637397,0,0.251716859,0.2154326,0.210787041,0,0.227409116,0.377485298,0.163122939
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__(Epsilonproteobacteria)|f__(Epsilonproteobacteria)|g__(Epsilonproteobacteria)|s__(Epsilonproteobacteria),0.010932126,0.032955879,0.017599448,0.015958349,0.005921356,0.007372116,0.014939733,0.011775841,0.004712391,0.010412543,0.029128349,0.007017147
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter ganmani,0,0,0,0,0.093594466,0,0,0,0,0,0.705156078,0
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__(Chlamydiaceae)|s__(Chlamydiaceae),1.54E-05,5.14E-06,3.60E-05,0,0.000108035,0.000108035,2.57E-05,5.66E-05,1.54E-05,7.20E-05,0.000190348,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum rodentium,0,0,0,0.226904881,0,0,0.193542599,0,0.190769527,0.10056541,0,0.241700578
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__(Lactobacillales)|g__(Lactobacillales)|s__(Lactobacillales),0.075372508,0.060808381,0.03526063,0.054115369,0.045009508,0.091094247,0.039916457,0.056481852,0.041269434,0.052649192,0.063267474,0.109748381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri,0,0.131638313,0.098193703,0.119342934,0.137662525,0.098486941,0.062578139,0.065716293,0.080686836,0.080630329,0,0.114208693
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__(Gammaproteobacteria)|f__(Gammaproteobacteria)|g__(Gammaproteobacteria)|s__(Gammaproteobacteria),0.062752976,0.089947016,0.088197875,0.061003902,0.116328152,0.132615774,0.101969853,0.093702564,0.076118492,0.092190104,0.074220186,0.074215072
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__(Helicobacteraceae)|s__(Helicobacteraceae),0.01953378,0.05520084,0.03156171,0.030486517,0.010993864,0.012475493,0.025928463,0.020048254,0.007701364,0.016241303,0.063910541,0.01163694
k__Bacteria|p__Firmicutes|c__(Firmicutes bacterium CAG:475)|o__(Firmicutes bacterium CAG:475)|f__(Firmicutes bacterium CAG:475)|g__(Firmicutes bacterium CAG:475)|s__Firmicutes bacterium CAG:475,0,0,0,0,0,0,0,0.064785132,0,0,0,0.097648433
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis,0.092761019,0.144623114,0.063056542,0.386755887,0.127023634,0.094273569,0.165947306,0.095961015,0.217490225,0.116590643,0.075604066,0.185120974
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium sp. 14-2,0.085574111,0,0,0,0,0,0,0,0,0,0.064219213,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus murinus,0,0.072198377,0,0,0.093388685,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__(Pseudoflavonifractor)|g__Pseudoflavonifractor|s__Pseudoflavonifractor sp. Marseille-P3106,0,0,0,0,0,0.056790501,0,0.070804238,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium sp. CAG:786,0,0,0,0,0,0.077409789,0,0,0,0.062938266,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium|s__(Ruminiclostridium),0,0,0,0.074209924,0,0.017887542,0,0.083994826,0,0.028763107,0.037421338,0.022975497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__(Hungatella),0.069888439,0,0,0,0,0,0,0,0,0,0.062279724,0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__(Mycoplasmatales)|g__(Mycoplasmatales)|s__(Mycoplasmatales),0,0,0,0,0,5.14E-06,0,0,0,0,0,5.14E-06
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__(Dorea),0.048183667,0.014559029,0.041526671,0,0,0.062567811,0.018242526,0.023850065,0.013921103,0.043954925,0.048307171,0.023978681
k__Bacteria|p__Tenericutes|c__Mollicutes|o__(Mollicutes)|f__(Mollicutes)|g__(Mollicutes)|s__(Mollicutes),0,0.071385541,0,0.019765305,0.025949018,0.01454874,0.079699156,0.078227802,0,0.036104361,0.069317446,0.02093826
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__(Sutterellaceae)|s__(Sutterellaceae),0,0.076092789,0,0,0,0,0.060834141,0,0.06437867,0,0,0.101321631
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__(Bacteroidales bacterium 52_46)|g__(Bacteroidales bacterium 52_46)|s__Bacteroidales bacterium 52_46,1.362837418,1.472761498,0.787941832,2.026087836,0.41162942,0.208219832,0.765517285,0.413008431,1.706960783,0.491534793,0.770465932,0.448001605
k__Bacteria|p__(uncultured bacterium BAC10G6)|c__(uncultured bacterium BAC10G6)|o__(uncultured bacterium BAC10G6)|f__(uncultured bacterium BAC10G6)|g__(uncultured bacterium BAC10G6)|s__uncultured bacterium BAC10G6,0,0.069204259,0,0,0.076056758,0,0,0,0.11140998,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__(Enterobacterales)|g__(Enterobacterales)|s__(Enterobacterales),0.006039678,0.063010241,0.007171479,0.010422829,0.074919816,0,0.010628612,0.011863298,0.009949524,0.012228565,0.010181032,0.01224914
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella xylaniphila,0,0,0,0.103291983,0,0,0,0,0.068149612,0.073818962,0,0