#SampleID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	4.32718	1.53715	0.54204	0.2458	0.12186	0.64858	0.40342	0.17508	1.0693	0.25718	0.77579	1.3739	0.97818	0.4682	2.06502	0.07997	1.15245
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.126	0	0.14138	0	0	0.31211	0	0	0	0.09896	0	0.32395	0	0.1948	0.09344	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0.126	0	0.14138	0	0	0.31211	0	0	0	0.09896	0	0.32395	0	0.1948	0.09344	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified	0.126	0	0.14138	0	0	0.31211	0	0	0	0.09896	0	0.32395	0	0.1948	0.09344	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04608	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04608	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.11659	0.05112	0.10362	0.2458	0.12186	0.02261	0.09047	0.17508	0.8569	0.11469	0.36404	0.02479	0.73634	0.08566	1.64337	0.07997	0.68565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64337	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2|t__GCF_000403455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64337	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified	0.11659	0.05112	0.10362	0.2458	0.12186	0.02261	0.09047	0.17508	0.8569	0.11469	0.36404	0.02479	0.73634	0.08566	0	0.07997	0.68565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	4.08459	1.48603	0.29704	0	0	0.31387	0.31295	0	0.21241	0.04353	0.41175	1.02516	0.24185	0.18774	0.28214	0	0.46679
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA	2.68989	1.28221	0.29704	0	0	0.31387	0.31295	0	0.21241	0.04353	0.41175	0.62673	0.24185	0.18774	0.28214	0	0.46679
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA|t__GCF_000209405	2.68989	1.28221	0.29704	0	0	0.31387	0.31295	0	0.21241	0.04353	0.41175	0.62673	0.24185	0.18774	0.28214	0	0.46679
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA	1.39471	0.20383	0	0	0	0	0	0	0	0	0	0.39844	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA|t__GCF_000185545	1.39471	0.20383	0	0	0	0	0	0	0	0	0	0.39844	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	3.33561	0.14645	0.21723	0.10641	0.01913	0.01562	0.08151	0.12683	0.09498	0.26898	0.00544	0.15081	0.11924	0.35948	4.0078	0.45226	0.08401
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	3.33561	0.14645	0.21723	0.10641	0.01913	0.01562	0.08151	0.12683	0.09498	0.26898	0.00544	0.15081	0.11924	0.35948	4.0078	0.45226	0.08401
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3	3.33561	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0078	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3|t__GCF_000403435	3.33561	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0078	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified	0	0.14645	0.21723	0.10641	0.01913	0.01562	0.08151	0.12683	0.09498	0.26898	0.00544	0.15081	0.11924	0.35948	0	0.45226	0.08401
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.31293	0.2058	0	0.87524	0.13684	1.93794	0	3.00154	0.47676	0.86024	0.81018	0	1.87284	0.2419	0.46414	0	0.26538
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0.31293	0.2058	0	0.87524	0.13684	1.93794	0	3.00154	0.47676	0.86024	0.81018	0	1.87284	0.2419	0.46414	0	0.26538
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified	0.31293	0.2058	0	0.87524	0.13684	1.93794	0	3.00154	0.47676	0.86024	0.81018	0	1.87284	0.2419	0.46414	0	0.26538
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	5.77685	2.82581	6.17084	0.30796	1.38544	0.37536	3.80649	0.68798	1.09782	0.19618	0.27256	1.90597	0.69746	0.52117	0.58401	0.88232	2.24038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	5.19415	2.0594	4.81639	0	0.4735	0.09731	3.29905	0	0.59885	0	0.13846	0.70743	0	0	0	0	1.71329
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_G3_2012	5.19415	2.0594	4.81639	0	0	0	3.29905	0	0	0	0	0	0	0	0	0	1.71329
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_G3_2012|t__GCF_000403395	5.19415	2.0594	4.81639	0	0	0	3.29905	0	0	0	0	0	0	0	0	0	1.71329
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified	0	0	0	0	0.4735	0.09731	0	0	0.59885	0	0.13846	0.70743	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0	0	0.00316	0.19931	0.91194	0.18182	0	0.54826	0.02551	0.13516	0	0	0	0.10076	0.1807	0.60199	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens	0	0	0.00316	0.19931	0.91194	0.18182	0	0.54826	0.02551	0.13516	0	0	0	0.10076	0.1807	0.60199	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens|t__Ruminococcus_flavefaciens_unclassified	0	0	0.00316	0.19931	0.91194	0.18182	0	0.54826	0.02551	0.13516	0	0	0	0.10076	0.1807	0.60199	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	0.5827	0.76641	1.35128	0.10865	0	0.09623	0.50744	0.13973	0.47347	0.06102	0.1341	1.19854	0.69746	0.42041	0.40331	0.28033	0.52709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	0.5827	0.76641	1.35128	0.10865	0	0.09623	0.50744	0.13973	0.47347	0.06102	0.1341	1.19854	0.69746	0.42041	0.40331	0.28033	0.52709
k__Bacteria|p__Proteobacteria	3.2943	8.56773	4.09381	8.0195	27.68811	1.15967	7.46663	12.2899	4.42471	4.18027	6.67591	4.42352	7.61272	10.20819	30.18143	2.36876	12.47223
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.35631	0.72659	0.14175	0.06726	0.02049	0	0.56408	0.07403	0.13884	0	0.20162	0.02706	0.54169	0.01312	0	0.01287	0.48278
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.35631	0.72659	0.14175	0.06726	0.02049	0	0.56408	0.07403	0.13884	0	0.20162	0.02706	0.54169	0.01312	0	0.01287	0.48278
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.35631	0.72659	0.14175	0.06726	0.02049	0	0.56408	0.07403	0.13884	0	0.20162	0.02706	0.54169	0.01312	0	0.01287	0.48278
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0.35631	0.72659	0.14175	0.06726	0.02049	0	0.56408	0.07403	0.13884	0	0.20162	0.02706	0.54169	0.01312	0	0.01287	0.48278
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47	0.35631	0.72659	0.14175	0.06726	0.02049	0	0.56408	0.07403	0.13884	0	0.20162	0.02706	0.54169	0.01312	0	0.01287	0.48278
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47|t__GCF_000144975	0.35631	0.72659	0.14175	0.06726	0.02049	0	0.56408	0.07403	0.13884	0	0.20162	0.02706	0.54169	0.01312	0	0.01287	0.48278
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.25522	0.03083	0.07641	0.25276	0	0.1011	0.13787	0.21534	0.64465	0.16222	0.26885	0.44965	0.36965	0.49041	0.71243	0.68397	0.13487
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.25522	0.03083	0.07641	0.25276	0	0.1011	0.13787	0.21534	0.64465	0.16222	0.26885	0.44965	0.36965	0.49041	0.71243	0.68397	0.13487
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.25522	0.03083	0.07641	0.25276	0	0.1011	0.13787	0.21534	0.64465	0.16222	0.26885	0.44965	0.36965	0.49041	0.71243	0.68397	0.13487
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.25522	0.03083	0.07641	0.25276	0	0.1011	0.13787	0.21534	0.64465	0.16222	0.26885	0.44965	0.36965	0.49041	0.71243	0.68397	0.13487
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans	0.25522	0.03083	0.07641	0.25276	0	0.1011	0.13787	0.21534	0.64465	0.16222	0.26885	0.44965	0.36965	0.49041	0.71243	0.68397	0.13487
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__Desulfovibrio_desulfuricans_unclassified	0.25522	0.03083	0.07641	0.25276	0	0.1011	0.13787	0.21534	0.64465	0.16222	0.26885	0.44965	0.36965	0.49041	0.71243	0.68397	0.13487
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2.68278	7.81031	3.87565	6.40591	2.49699	1.05857	6.76468	6.39373	3.40635	3.37024	6.20544	3.94681	6.70138	9.62965	29.469	1.59775	11.85459
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2.68278	7.81031	3.87565	6.40591	2.49699	1.05857	6.76468	6.39373	3.40635	3.37024	6.20544	3.94681	6.70138	9.62965	29.469	1.59775	11.85459
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2.68278	7.81031	3.87565	6.40591	2.49699	1.05857	6.76468	6.39373	3.40635	3.37024	6.20544	3.94681	6.70138	9.62965	29.469	1.59775	11.85459
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter	2.68278	7.81031	3.87565	6.40591	2.49699	1.05857	6.76468	6.39373	3.40635	3.37024	6.20544	3.94681	6.70138	9.62965	29.469	1.59775	11.85459
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_hepaticus	2.68278	7.81031	3.87565	6.40591	2.49699	1.05857	6.76468	6.39373	3.40635	3.37024	6.20544	3.94681	6.70138	9.62965	29.469	1.59775	11.85459
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_hepaticus|t__GCF_000007905	2.68278	7.81031	3.87565	6.40591	2.49699	1.05857	6.76468	6.39373	3.40635	3.37024	6.20544	3.94681	6.70138	9.62965	29.469	1.59775	11.85459
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	0	0	1.29357	25.17063	0	0	5.6068	0.23488	0.64782	0	0	0	0.07501	0	0.07417	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0	0	0	1.29357	25.12308	0	0	5.6068	0.23488	0.64782	0	0	0	0.07501	0	0.07417	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0	0	0	1.29357	25.12308	0	0	5.6068	0.23488	0.64782	0	0	0	0.07501	0	0.07417	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0	0	0	1.29357	25.12308	0	0	5.6068	0.23488	0.64782	0	0	0	0.07501	0	0.07417	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0	0	0	1.13539	22.93512	0	0	4.73225	0	0.64782	0	0	0	0.07501	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified	0	0	0	1.13539	22.93512	0	0	4.73225	0	0.64782	0	0	0	0.07501	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	0	0	0	0.15818	2.18795	0	0	0.87455	0.23488	0	0	0	0	0	0	0.07417	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0	0	0	0	0.04755	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0	0	0	0	0.04755	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Pasteurella	0	0	0	0	0.04755	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Pasteurella|s__Pasteurella_pneumotropica	0	0	0	0	0.04755	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Pasteurella|s__Pasteurella_pneumotropica|t__GCF_000379905	0	0	0	0	0.04755	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes	5.30966	4.10388	3.6746	3.40316	0.86427	1.11884	1.91856	0.66453	0.79428	3.82651	2.98526	1.74074	1.01474	2.35039	2.06296	4.96094	2.71163
k__Bacteria|p__Spirochaetes|c__Spirochaetia	5.30966	4.10388	3.6746	3.40316	0.86427	1.11884	1.91856	0.66453	0.79428	3.82651	2.98526	1.74074	1.01474	2.35039	2.06296	4.96094	2.71163
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	5.30966	4.10388	3.6746	3.40316	0.86427	1.11884	1.91856	0.66453	0.79428	3.82651	2.98526	1.74074	1.01474	2.35039	2.06296	4.96094	2.71163
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae	5.30966	4.10388	3.6746	3.40316	0.86427	1.11884	1.91856	0.66453	0.79428	3.82651	2.98526	1.74074	1.01474	2.35039	2.06296	4.96094	2.71163
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira	5.30966	4.10388	3.6746	3.40316	0.86427	1.11884	1.91856	0.66453	0.79428	3.82651	2.98526	1.74074	1.01474	2.35039	2.06296	4.96094	2.71163
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_unclassified	5.30966	4.10388	3.6746	3.40316	0.86427	1.11884	1.91856	0.66453	0.79428	3.82651	2.98526	1.74074	1.01474	2.35039	2.06296	4.96094	2.71163
k__Eukaryota	0.01252	0.16309	0.05604	0	0.04447	0.11038	0	0	0	0.02998	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa	0.01252	0.16309	0.05604	0	0.04447	0.11038	0	0	0	0.02998	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	0.01252	0.16309	0.05604	0	0.04447	0.11038	0	0	0	0.02998	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida	0.01252	0.16309	0.05604	0	0.04447	0.11038	0	0	0	0.02998	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Haemosporida_noname	0.01252	0.16309	0.05604	0	0.04447	0.11038	0	0	0	0.02998	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Haemosporida_noname|g__Plasmodium	0.01252	0.16309	0.05604	0	0.04447	0.11038	0	0	0	0.02998	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Haemosporida_noname|g__Plasmodium|s__Plasmodium_berghei	0.01252	0.16309	0.05604	0	0.04447	0.11038	0	0	0	0.02998	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Haemosporida_noname|g__Plasmodium|s__Plasmodium_berghei|t__GCA_000005395	0.01252	0.16309	0.05604	0	0.04447	0.11038	0	0	0	0.02998	0	0	0	0	0	0	0
k__Viruses	7.65066	9.66982	15.83045	0	4.40227	28.04079	4.42382	3.74625	1.67825	10.13689	0.85109	3.96503	3.68887	2.32142	0.52707	0.27632	3.51416
k__Viruses|p__Viruses_noname	7.65066	9.66982	15.83045	0	4.40227	28.04079	4.42382	3.74625	1.67825	10.13689	0.85109	3.96503	3.68887	2.32142	0.52707	0.27632	3.51416
k__Viruses|p__Viruses_noname|c__Viruses_noname	7.65066	9.66982	15.83045	0	4.40227	28.04079	4.42382	3.74625	1.67825	10.13689	0.85109	3.96503	3.68887	2.32142	0.52707	0.27632	3.51416
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	7.65066	9.66982	15.83045	0	4.40227	28.04079	4.42382	3.74625	1.67825	10.13689	0.85109	3.96503	3.68887	2.32142	0.52707	0.27632	3.51416
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	7.65066	9.66982	15.83045	0	4.40227	28.04079	4.42382	3.74625	1.67825	10.13689	0.85109	3.96503	3.68887	2.32142	0.52707	0.27632	3.51416
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Betaretrovirus	1.36364	7.66752	3.51932	0	3.0709	6.20691	1.00196	1.92105	0.36357	2.97207	0	1.27094	0	0.60612	0.25281	0.0984	1.21424
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Betaretrovirus|s__Mouse_mammary_tumor_virus	1.36364	7.66752	3.51932	0	3.0709	6.20691	1.00196	1.92105	0.36357	2.97207	0	1.27094	0	0.60612	0.25281	0.0984	1.21424
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Betaretrovirus|s__Mouse_mammary_tumor_virus|t__PRJNA14435	1.36364	7.66752	3.51932	0	3.0709	6.20691	1.00196	1.92105	0.36357	2.97207	0	1.27094	0	0.60612	0.25281	0.0984	1.21424
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus	6.28702	2.00229	12.31113	0	1.33137	21.83388	3.42186	1.8252	1.31469	7.16482	0.85109	2.69409	3.68887	1.7153	0.27426	0.17792	2.29993
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus	6.28702	0	12.31113	0	0	21.83388	3.42186	0	1.31469	7.16482	0.85109	2.69409	3.68887	1.7153	0.27426	0.17792	2.29993
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus|t__PRJNA14655	6.28702	0	12.31113	0	0	21.83388	3.42186	0	1.31469	7.16482	0.85109	2.69409	3.68887	1.7153	0.27426	0.17792	2.29993
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Spleen_focus_forming_virus	0	2.00229	0	0	1.33137	0	0	1.8252	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Spleen_focus_forming_virus|t__PRJNA14641	0	2.00229	0	0	1.33137	0	0	1.8252	0	0	0	0	0	0	0	0	0
