Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae,25.7218802499254,31.534237463369948,14.511545403782069,17.585602139758333,9.341917607655866,4.508347699178695,31.100928629120094,12.416848751977513,51.82652324464046,6.099212670219491,39.024486140889195,30.640643812179203,44.771035442362574,12.764958100243447,9.222912486091047,16.076713178323534,40.4416389816862
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,2.592995842737296,4.689008414477782,4.008709237092976,18.459199050331975,29.906055962464105,15.121912803497995,11.813307839492365,24.560121121822036,12.124995945690884,29.839650857421894,5.532691517633617,6.074434139870117,6.145101665638769,13.418142068684174,13.756645526885825,18.491127230918025,9.266101142388562
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,1.9646258827483851,1.572242819010598,1.4113921103566007,4.304793204635857,4.21218310758443,4.682248447652833,3.240809145234106,3.7752686608901596,2.085588712386595,4.945391504053169,5.049604575624912,8.935857942687306,3.1653824730210744,3.9125034119802775,1.535902164688975,4.454200596172374,2.9934806807109804
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,1.438682194701227,2.089692532284752,2.0070036139997485,3.998657284473228,2.734463405413675,1.9158891587163571,2.106804320949081,2.744322158354517,1.8046723095702406,1.73802356511163,1.5531720609569784,1.839206395604351,2.1976283570490223,3.2403273286738776,0.9161595992826393,3.749614141137715,2.260604571570005
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola,1.093142402293078,1.0429799794935901,0.7629473548359658,9.106638016344421,4.962967317931075,4.449534844702845,2.6508260678027935,8.784594856695687,4.787223995986983,5.334590622923556,2.665844738159736,1.018067868465754,1.729657185573694,4.9070983242226545,3.1288852257897024,5.6731643508908265,3.005096063178428
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae,1.0322854490512006,1.0929750562427891,0.6306625715091281,5.639029552621355,1.3425611595566191,1.1362764333065252,2.667879064662589,3.4032970267380556,2.9738634159596105,1.9021825883114056,1.7736323837157053,1.3071047053316462,2.6432152941330354,2.2121342580704777,1.2821649979245575,2.9913927204952815,2.172456541038237
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae,0.22751468738482833,0.19873611589760493,0.29527591533333897,2.49368354846119,1.1745770447944996,1.0457610333015706,0.44006854681797114,1.0026407850711172,0.3271973997191878,1.0096618423499473,0.3546622844744579,0.5542598183605847,0.5456373077812485,1.3574252142893948,1.5719794837654555,1.2079892515248722,0.4884243543673094
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae,0.21896262301243077,0.2446507809774151,0.15655654789512105,0.5111388503092217,0.3057345658174057,0.16352793338678856,0.24172039042018703,0.41959766933079784,0.3917537241352989,0.20417084414010672,0.42394981448434355,0.30322294470075284,0.6288809931196243,0.3414322354102446,0.21093272327450505,0.4220280228101546,0.4538921362208436
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.1390165357555691,0.14643995453484912,0.09708705827313362,0.2954832809913985,0.18502117146675467,0.1146447834508684,0.15143294814195335,0.24110253246488136,0.2506572539828947,0.13167503941866215,0.21151352531101156,0.17432150953269654,0.39245214475269863,0.2579052548967506,0.17869235664124145,0.2592084254296518,0.2625274708752133
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae,0.0848093501688247,0.09009013830053664,0.06240263337646276,0.19528944052446404,0.103945011081989,0.07702066969713998,0.09332427733545756,0.15246139310252702,0.13382802200385904,0.08378756046027135,0.13805349783672055,0.12195146879362892,0.22149779896588292,0.1480405545527208,0.09968601769682196,0.16487439797844983,0.15527932351219426
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae,0.014192787681851294,0.01189339663634943,0.010724306852300447,0.0412689144719189,0.017685033814922566,0.013434306142257418,0.015417777982829034,0.027383261976846023,0.019981719462129628,0.017391042942087452,0.01941816127665584,0.01827432334922968,0.026999286024365007,0.02787071564928973,0.021476967571772188,0.029350958541128933,0.021148918290658507
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae,0.007791145685491795,0.007920012158288935,0.005994612548208968,0.01913181795739803,0.010241199206496713,0.010010270094005904,0.007592087643059752,0.01836369720842762,0.01728535966508867,0.008186212356311166,0.012798333568704984,0.01138568020751782,0.022260837288827454,0.01545770783910187,0.013005773865968774,0.020477955959085182,0.017315676850476653
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae,0.017054503613040426,0.01468948200979941,0.014537393733118383,0.0423422282423199,0.022631785900776687,0.019436439920957133,0.01794847386384895,0.02685370419688207,0.023550814072705584,0.01950281244219807,0.019498401612509788,0.02362988567305314,0.030873955042486852,0.03447111431336904,0.034482741437740966,0.035048360199072814,0.025824811943983783
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae,0.010735570169605467,0.012294748603830287,0.01013767810140538,0.032923899907051024,0.01749538197776522,0.014320527237098986,0.012653479405099586,0.031124331454655933,0.019356476610641868,0.014707853459593962,0.016389088598169236,0.014799340162015982,0.026974606603867413,0.026912593262568545,0.022149680013115403,0.027319507949976816,0.024106462332867784
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,0.6085860741293602,0.4397479723698603,0.6786194718947999,1.078090016679296,0.5535779083425315,0.5635963335421995,0.6048363155637602,0.7852829401594584,0.5539651664181544,0.5216443330479132,0.6517120078057799,0.6507825866548381,0.7285364930888985,0.8871361636694469,0.7990827192133151,0.9205506678802443,0.7035154624202723
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae,0.2543618836641344,0.1866420432775151,0.29672415506211114,0.4655498479114387,0.23391973681382386,0.23412350014632718,0.2599803345463153,0.3375674609634774,0.22786194168907012,0.22595933651183628,0.2932784275461863,0.26178888046262244,0.3181670890549485,0.3764782231556464,0.34674589059901806,0.3807218607900615,0.2954569975574652
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae,0.03857526908400608,0.023077738130149347,0.048671854175825105,0.05892492599501553,0.023690675324905205,0.03289088745173368,0.04160074690568894,0.04156174447265526,0.02379830603475282,0.029477817786838233,0.03983932675148605,0.03491336049271174,0.02971402227910006,0.046224082257148975,0.0443242753018361,0.0460462133994481,0.03587054813204658
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae,0.009015232268775007,0.007786228169128649,0.00843278829411659,0.024900879473303463,0.014034235949643646,0.012286246996667206,0.010122783524079668,0.013614759697783084,0.013169177559460921,0.011515354862367908,0.011795329370530613,0.015841835118180093,0.01589354680044887,0.019439238646143258,0.017938998435818997,0.02010435585036755,0.015167739836581647
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae,0.25801760170339916,0.23108508447656212,0.1870245786447336,0.4792614313283116,0.2851889501253599,0.20393155875615648,0.2497991503480583,0.35401791716042236,0.35386140215659284,0.2249904069764914,0.3701286092103067,0.3572078305679962,0.5770048512336873,0.40230494437993086,0.2864758389097873,0.44481762944193015,0.4396827067443074
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae,0.13339235415670028,0.11142868457160225,0.10222005984346545,0.2601712579452052,0.1464902398842871,0.11732358812391223,0.1290070892578384,0.18134791587410942,0.16588474403534603,0.1301719564215246,0.17065113427738762,0.17659046914317136,0.24992849137910825,0.20936038730287698,0.16837743254064552,0.23772641917838797,0.19929550970462728
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae,0.04671379069178095,0.0373658681724679,0.04487709944347264,0.09879853256541311,0.05297607984595214,0.05081672323375633,0.04738241364924983,0.07485555457426031,0.05298933166358757,0.051291154505627934,0.055807153586422055,0.05911559633777655,0.0729523669908802,0.08505997633224789,0.0741727754769905,0.08312602418967305,0.06336414190990264
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae,0.014126620839511661,0.013993805266165922,0.011787571463297756,0.035365688734713324,0.02007148609915251,0.016495797197164656,0.015573513113968722,0.024000925188689123,0.02086748016840395,0.01560224995375846,0.025315825961921147,0.02311885873375701,0.037932269304798,0.024357600231312036,0.018885778908820556,0.02738955797036137,0.027212709706808252
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Flammeovirgaceae,0.01397774544424749,0.009378257640136053,0.01642560502506188,0.023747067170122378,0.010762741758679417,0.010755501469213585,0.01185533685800869,0.01291437682750817,0.012596038278930475,0.009987427518170224,0.010190522653451618,0.011692296371095498,0.01031599776799321,0.01556416588207089,0.009467804730015583,0.01865665542908673,0.013978113182732108
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae,0.21370235904642995,0.17692932566447833,0.20585169511877216,0.457365830412131,0.2556190678485769,0.22054820428443586,0.22178629363430705,0.3361154476958343,0.2683333904301632,0.22619535780890745,0.2779926435660089,0.26753282326031097,0.3709563694992965,0.38782665053614396,0.3332667264965485,0.41350527033003365,0.30034768491217995
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae,0.1350134417940213,0.10587664902145039,0.10674810051443674,0.2760831345914002,0.1606034974327463,0.126991454613093,0.12758600618618876,0.21988605624826077,0.17054801363602556,0.13368743153053228,0.16659899731676317,0.16778036470970606,0.24348716262923686,0.2342289861404403,0.19772762720369386,0.24008476986466804,0.19197600126496966
d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae,0.00716256068326528,0.0076925793767164494,0.007241198643860985,0.020527125858919346,0.011173654072520335,0.009486593992508612,0.00798142547090897,0.01727041663043751,0.00862314099343534,0.008968809288705101,0.011474368027114814,0.012244205465535321,0.020064368864541816,0.017395244221138053,0.010065771344542881,0.018329755333958805,0.01080577543913333
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae,0.044695702000422145,0.03089072309711005,0.03202626336917758,0.06646495523208264,0.03634993545515809,0.034542481310302055,0.03908951791606149,0.06065998956941999,0.04949839240944758,0.03633485757543272,0.05091249309933112,0.059953680518222204,0.07366807018531037,0.06668531811579484,0.06502886932984386,0.06388561859071501,0.061728405260859515
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae,12.709558660544912,2.592345736357779,7.133185625102431,2.7446511408252063,0.983803100933972,2.124997054321929,3.622068213155453,1.913463084100096,1.7497290939957537,3.2517150984438614,2.930677966645697,5.688240861305244,3.5862159513460035,8.981247628647093,12.10157359897668,6.216472308993442,2.8355246972276245
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae,4.618412511885219,1.3039925423453083,2.969056433319193,1.5100719764214432,0.9316488457157018,1.2124108819088235,1.9841045045024,1.3328627671512234,0.9858386401905844,2.1684270335812346,1.215861749110937,2.843026833002529,1.410379522596354,5.460190440663906,6.766465633612899,4.077494936551027,1.430724322363048
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae,1.1392772331143872,0.4676151773119479,1.4111904567234803,1.2206797510770704,0.31630765573892783,0.8185661708058227,0.6694858618781229,1.0678276395337774,0.3085052436382517,0.6384127642305004,0.5657344879382727,0.7760250689375341,0.517404050732004,1.0163549362252449,1.3017733198259318,0.9768942342762222,0.5629577687494661
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Flintibacter,0.2892152678665362,0.09871920560137509,0.18973773661762328,0.09928152376209357,0.06955481127745684,0.11428223845752414,0.1728075948908754,0.10018891546737488,0.09002194472149794,0.18850648331869793,0.08385115096737748,0.21559204515025215,0.10821925888193835,0.6556325034290136,0.7813679582579438,0.29451363570346795,0.11995402092982871
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Massilistercora,0.2692494231905519,0.0594402263839151,0.15574993336264034,0.07633944191977195,0.02441767403400837,0.05399906261977831,0.08164414249998102,0.04899263590118179,0.04091432909423022,0.09970036475228136,0.06990939261275372,0.11682075832309576,0.07502543831267788,0.24410829252796548,0.32795977279261873,0.1708519997179319,0.06394243264441282
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Intestinimonas,0.24149243282907584,0.07459795235577552,0.15666654078591385,0.07022155342848617,0.04537420203989516,0.07738321469048426,0.14522300978775832,0.0733864587975861,0.07921045374785544,0.1530784444109598,0.06726146152957338,0.1701515297080401,0.084502335783753,0.36906874336500245,0.44538546672041723,0.2312117672826243,0.09753286302324779
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XIII. Incertae Sedis,0.0762242023752573,0.02112449188840917,0.054538141684775776,0.04854061526638574,0.02378550124348388,0.03172268691762434,0.0384860442828952,0.03853814037415136,0.022078888193161485,0.03834724968730284,0.0282646583045538,0.05053034375760153,0.03195984954438088,0.0830798567330241,0.10713568510280791,0.06484296886930394,0.029674575976580214
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Monoglobus,0.02324110337179612,0.005672441140396129,0.0157839798287704,0.013470087818532695,0.007949572840845442,0.008580231509147917,0.008565432212682796,0.012179828939171064,0.005145227632034682,0.009577495791678162,0.007683012158015688,0.013348023654414967,0.007996132241219617,0.02312268693287139,0.024441885368803384,0.020127705857162403,0.007550824733461669
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae,0.3910129548060617,0.180046492611913,0.32306745240699275,0.4926241877698042,0.16801572340164592,0.49068450710296135,0.1755524265772124,0.511433237881967,0.14621564599896025,0.5199424952742946,0.2736997855978226,0.27707880648636274,0.2878607606839062,0.5177480461755374,0.5648043826966401,0.40934896912055,0.19779195379490078
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae,0.26253348869307913,0.06729334654762388,0.16317445349115603,0.09705439768851146,0.04066451475048772,0.06876270040429809,0.08863275650987448,0.07231026072862709,0.05206449327909526,0.09073155546357625,0.07117317790245342,0.1328670042169943,0.08435425926076745,0.19581892423721747,0.2990580530904659,0.1523354443296143,0.07874667544787378
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae,0.18417540565236867,0.05652373542022086,0.1306165578164798,0.10260879645033669,0.04429950829600353,0.07269027116552777,0.08471991133998984,0.08642041318831194,0.04800041474442482,0.08466953478090578,0.0759875980536904,0.12467013211068434,0.07739466268044667,0.18468341294265786,0.23427833651667504,0.1442096419650058,0.07823447508302189
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae,0.07673699540338946,0.02219476380169146,0.040605708851017934,0.036492668193634385,0.01795370725089547,0.02402867650331799,0.029064068848944122,0.030099380912790203,0.019226217683248583,0.034757241537114784,0.026459250747839932,0.053494300005519094,0.034353753332647244,0.08371860499083822,0.1089794154976004,0.06491301888968849,0.028154497474439138
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis,0.07283315170535111,0.028067880925828015,0.06944217838720357,0.055436656241212245,0.021525483517358834,0.03875203151079951,0.03986819357175993,0.03899936811799094,0.01880938911559008,0.03222311813698204,0.03139403140285784,0.0458697780712208,0.02428454976962995,0.06792023141423549,0.06196429043039145,0.05856181704148876,0.03496180554924484
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae,0.047210042009328206,0.01872975848244005,0.03395113895805201,0.036304838283814214,0.015266972891166396,0.025418432311137724,0.023009865625888783,0.02762241710328136,0.018848466793808062,0.025813276595469805,0.024393062099600724,0.03419792277769715,0.025370444271523972,0.05339935435326101,0.05820208381399053,0.0436645127063732,0.024089939740453203
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae,0.01786504743170093,0.009297987246639881,0.023905121598973986,0.020875952834299674,0.005531511917089274,0.014340668625618114,0.01185533685800869,0.015254680564768247,0.004897735669987444,0.008670677123983603,0.009829441142108845,0.013225377188983894,0.007551902672262972,0.01556416588207089,0.019010355286847077,0.015317604457422898,0.011202317657083178
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,3.5195301360191777,2.1308043521537083,1.577811354126145,0.4162310801615122,1.0285135215438164,0.24407334607477574,1.033906068744991,1.208946246639657,0.8972495436704127,0.7853173883970191,0.6182718478386463,0.868132564476269,0.5837423330295297,1.0886399474012103,0.7571004798183776,0.38494821201992974,0.7439462460587422
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.34836842491816816,0.10029785667346647,0.2936626862683775,0.23752433738974385,0.06196873779116298,0.11853207143505984,0.13529489517760326,0.11091673113890284,0.06950616365705586,0.10156369078179073,0.10710078828105943,0.18407190353446673,0.1201147395617774,0.1938600962465875,0.3110423006566172,0.17510170095459499,0.11468331394957867
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.3337124693399394,0.11833193841227303,0.26341464130035064,0.22778401492335468,0.09237624901539088,0.14163424406649802,0.1647483018543966,0.21288222754551164,0.08897987330235169,0.1533641544021512,0.13789301716501265,0.19261627395949804,0.13462623881436114,0.26980726410068717,0.3345124902768137,0.25421152397555347,0.1510825850388917
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0.042611446466723706,0.016013943502486243,0.03890081904372914,0.04043709629985811,0.013117585403383137,0.024008535114798866,0.024294680457791203,0.030065215894728013,0.012687219528105772,0.021428249339357757,0.022046032275872693,0.027820306575281426,0.016140341005424785,0.03819714581728478,0.044075122545783066,0.03231640940407513,0.020355833854758813
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,0.7990969549357487,0.3131080482307335,0.7372090183904447,0.6411976464375643,0.24422415329937303,0.42053205089084356,0.4732790635335094,0.5147984921610929,0.26761696632950016,0.3895966284233492,0.4603187467101462,0.5697950373151871,0.38378966815804405,0.7496349553706592,0.923086045900914,0.6658721437687938,0.4357668523420527
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae,0.5809283340313935,0.20490355779789415,0.4022073373324304,0.40742990724422395,0.17577564440533403,0.22036693178776376,0.2859881014466431,0.2980385350655225,0.22263855870059945,0.31377168119584786,0.31205466613601057,0.44890650455529413,0.36606984424077343,0.6858027128064341,0.8126864596938113,0.5378440565126205,0.31095518924233834
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.18217385867159477,0.10989016869625896,0.2376396405578986,0.20545908849901362,0.08532752240104283,0.1733166482070841,0.1381175944295101,0.17188420587088252,0.06538998155142811,0.12254474187406623,0.13295823650999475,0.13550390322376235,0.0942507068803016,0.14493197969802538,0.20041847696906667,0.1488796433239762,0.12152366720921351
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae,0.10945649894033802,0.03954654719578056,0.0910007849825973,0.08970219836126453,0.03924212597180762,0.055469383981674565,0.056123047884464775,0.0651014419175048,0.035339247001797705,0.05396192181459136,0.05438288762501444,0.07738991968700622,0.04814954939080084,0.10686258353230342,0.13317214811035077,0.09132187657466607,0.05503675533295584
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium,0.028236699968438413,0.034221944427201174,0.04104568041418923,0.014597067277453756,0.032066964799354676,0.05230718598417169,0.013218019255480953,0.020704000945687702,0.010967801686514437,0.025999609198420745,0.011394127691260865,0.02146313145043754,0.01468425519606689,0.022185856154744006,0.015621877804525711,0.014803904307936154,0.015316443168312842
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella,0.012819825703303908,0.008013660950701136,0.016077294204217933,0.02522287360442377,0.004946752085854123,0.016032545261224745,0.011699601726869003,0.021626456433366855,0.0050800981683380405,0.012459440050652654,0.011173466767662503,0.01563742434246164,0.008267605866693124,0.012370424593000254,0.025164428361357207,0.017185605001011055,0.00907090323560275
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae,0.0352007601246848,0.01287001975721952,0.01939541307646816,0.026779178571505233,0.013528497717224053,0.015629717490842215,0.01942795760967598,0.0229588921377923,0.01570922664362994,0.02054627501872332,0.026037988984606693,0.03438189247584376,0.03605663334698105,0.043647797617298666,0.05047834837634623,0.036169160525225716,0.019513181641615387
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae,0.032752586958118377,0.013311506921448462,0.029899734147182954,0.038075806004975885,0.011679392304939924,0.023243162351072055,0.01790954008106403,0.028493625063867233,0.01023835169311205,0.020670496754023947,0.017271732292562684,0.025837522050812432,0.015251881867511493,0.03195870449930014,0.04654173483070818,0.025404807392798955,0.01748090277462242
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae,0.01950267677960685,0.008334742524685822,0.011989225096417935,0.01736085023623636,0.006764248858612027,0.008741362617300928,0.010336919329396739,0.014263895040964711,0.008323545460430789,0.01298117133891528,0.012116290713946412,0.016741242531341283,0.01468425519606689,0.027466175086007454,0.03518036915468947,0.020734806033828556,0.014605971694486032
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,0.36816885248830333,0.09842488082522245,0.22015077092183943,0.526272574471876,0.055093858694209165,0.11728330534687399,0.26375691147645275,0.9259232370124673,0.43895955942262466,0.3927394383264549,0.4856546327560308,0.30939615012745014,0.3993870619125218,0.569550529884263,0.44615784026418165,0.9028046627161569,0.3072541285414731
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae,0.013944662023077672,0.003973384478060496,0.009587713647441253,0.1992875343192078,0.018127554768289707,0.043203278373526485,0.006540875507866863,0.14472301651144076,0.023446606930790957,0.13225888157457508,0.07701066233582828,0.07274979507819734,0.0663629617180233,0.11897750882217803,0.11695230369129775,0.0920457267853065,0.010343142851525176
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae,0.09150874295571255,0.03130545346350694,0.058571214347179365,0.0650428144863013,0.028463579893365093,0.036093368226274805,0.04123087596923219,0.049453863645021356,0.031118857754255335,0.04370120647875976,0.04812414142840636,0.0705625997780099,0.057601767441378356,0.10062414221431877,0.12061484920527746,0.07871287290544601,0.048113789111248105
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Sporomusaceae,0.028567534180136578,0.00960569042170854,0.02315350351188968,0.015428885449514542,0.0082814635558708,0.010372815087350181,0.012848148319024194,0.01460554522158662,0.007620147252507061,0.012683039174193781,0.014322899949930029,0.02056372403727635,0.016485852892391063,0.0281900897781968,0.03704901482508729,0.020384555931905777,0.0152007850214108
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae,0.05058455096864949,0.019893679188134537,0.04216394147058295,0.03944428106223717,0.0200556817793894,0.02211524459400097,0.03607214975023005,0.03230302457780152,0.02210493997864014,0.027775980013219674,0.036088091050313895,0.05320812491951325,0.03588387740349791,0.06402386704156932,0.07402328382335867,0.05270096533598091,0.03524268962029265
